id,prompt,center_list,radius_list
11,"A border collie herds a tight flock of sheep across an open hillside, circling and darting, the grey flock moving as a single rippling body through the green.","[(-0.1,-0.1),(0.0,0.0),(0.1,-0.1),(0.0,0.1),(-0.1,0.0)]","[0.3,0.28,0.3,0.28,0.3]"
12,"A tiger paces steadily through the dappled half-light of a bamboo forest, its stripes flickering as shafts of light move across its flanks between the canes.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.32,0.32,0.32]"
13,"A pair of orcas surface together in a long coordinated roll through the open Pacific, their black-and-white flanks gleaming before slipping back beneath the surface.","[(-0.2,-0.1),(0.0,-0.1),(0.2,-0.1)]","[0.35,0.38,0.35]"
14,"A humpback whale surfaces and rolls in a long slow arc through the open Pacific, its barnacled flank gleaming before it slips back beneath the surface.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.0,0.1),(0.0,0.2)]","[0.4,0.38,0.35,0.38,0.4]"
15,"A moose wades steadily through a shallow northern lake, its broad antlers held high, the lily pads and forested far shore sliding past as it crosses.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.35,0.35,0.35,0.35]"
16,"A lioness stalks through tall grass on the Serengeti, low to the ground, the dry golden stems parting around her shoulders as she presses forward.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.28,0.28,0.28]"
17,"A flock of snow geese rises from a frozen field in a mass of beating white wings, lifting and banking across the frame against a flat winter sky.","[(-0.1,0.2),(0.0,0.0),(0.1,-0.2),(0.2,-0.3)]","[0.4,0.45,0.5,0.45]"
18,"A hawk moth hovers before a pale flower in the blue dusk, its wings an invisible blur, then darts to the next bloom as the hedgerow scrolls past behind it.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.22,0.2,0.2,0.22]"
19,"A marble rolls down a long wooden track, gaining speed through each gate and loop, the pine surface and workshop bench blurring past on either side of its path.","[(-0.3,-0.2),(-0.1,-0.1),(0.1,0.0),(0.3,0.1)]","[0.2,0.2,0.2,0.2]"
20,"A child runs along the edge of a breaking shore wave, arms out for balance, the white foam chasing her feet and the empty beach stretching ahead.","[(-0.3,0.1),(-0.1,0.1),(0.1,0.1),(0.3,0.1)]","[0.28,0.28,0.28,0.28]"
21,"A hot-air balloon drifts low over a Tuscan vineyard at harvest, its shadow sliding across the vine rows below, the amber hills and distant hill towns scrolling past.","[(-0.1,-0.2),(0.0,-0.1),(0.1,0.0),(0.2,0.1)]","[0.4,0.4,0.4,0.4]"
22,"A paper lantern drifts slowly at night over a river, dozens of others receding behind it, their warm light catching on the dark water below.","[(-0.1,-0.2),(0.0,-0.1),(0.0,0.0),(0.1,0.1)]","[0.3,0.3,0.3,0.3]"
23,"A pack of sled dogs pulls a musher across a frozen lake, the dogs' breath steaming in unison, the far treeline and pale sky holding steady as the foreground rushes past.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.35,0.35,0.35,0.35]"
24,"A polo pony stretches into a flat gallop across a manicured field, the rider leaning forward with mallet raised, the white railings and spectator stands receding.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.3,0.3,0.3,0.3]"
25,"A glider banks over a patchwork of autumn farmland, the wings tilting against the horizon, the fields, hedgerows, and winding rivers rotating slowly below.","[(-0.1,-0.1),(0.0,0.0),(0.1,0.1),(0.0,0.2)]","[0.45,0.45,0.45,0.45]"
26,"A wrist-camera view on a robotic arm in an engine assembly plant, its gripper lowering a cast-iron piston into a cylinder bore, coolant dripping from the part as it seats.","[(0.0,0.0),(0.0,0.1),(0.0,0.2)]","[0.3,0.28,0.25]"
27,"A wrist-camera clip from a robotic arm in a ceramics factory, its foam-padded gripper lifting an unfired clay bowl from a tray and carrying it toward a glowing kiln mouth.","[(0.0,0.0),(0.1,0.0),(0.2,0.1)]","[0.3,0.3,0.3]"
28,"Egocentric footage from a wrist camera on a pick-and-place arm in a bakery line, the suction cup descending onto a frosted cupcake, lifting it, and placing it in a packaging tray.","[(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.25,0.23,0.25]"
29,"Wrist-camera footage from a robotic arm on a tyre-mounting line, the expanding collet gripping a rubber tyre on a roller table, lifting it upright, and lowering it onto an alloy wheel.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.1,-0.1)]","[0.3,0.3,0.3,0.3]"
30,"Fish-eye overhead footage from a KUKA arm lifting a steel disc brake rotor from a machining pallet, rotating it over a wash station, and lowering it into a cleaning bath.","[(0.0,0.0),(0.0,0.1),(0.0,0.2)]","[0.35,0.33,0.3]"
31,"Fish-eye overhead footage from a robotic arm in a produce packing shed, the suction cup descending onto a mango on a grading belt, picking it, and carrying it to a weight station.","[(0.0,-0.1),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.3,0.28,0.28,0.3]"
32,"Egocentric fisheye footage from a robotic arm in a steel-coil slitting facility, the electromagnetic gripper approaching a coiled steel strip, engaging, and lifting the leading edge into a slitter guide.","[(0.1,0.0),(0.0,0.0),(-0.1,0.0),(0.0,0.1)]","[0.28,0.25,0.28,0.3]"
33,"Egocentric fisheye footage from a wrist camera on a pharmaceutical blister-packing arm, the pick-and-place nozzle cycling over a blister sheet, dropping tablets into cavities from left to right.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.22,0.22,0.22,0.22]"
34,"Egocentric fisheye footage from a greenhouse harvesting arm, the soft-finger gripper closing around a cluster of cherry tomatoes on the vine, detaching it with a clean twist, and placing it in a harvest tray.","[(0.0,-0.1),(0.0,0.0),(0.1,0.1)]","[0.27,0.25,0.27]"
35,"Fish-eye footage from a ceiling camera above a spot-welding cell, a robotic arm pressing electrode tips against a car roof panel seam and triggering three welds in sequence, each producing a brief spark flare.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.28,0.25,0.28]"
36,"Egocentric footage from a wrist camera on a robotic arm in a recycling facility, the claw gripper picking a crushed aluminium can from a mixed-waste conveyor and dropping it onto a metals chute.","[(0.0,0.0),(0.1,0.0),(0.2,0.1)]","[0.27,0.27,0.27]"
37,"Egocentric fisheye footage from a wrist camera on a cobot in a PCB test cell, the pogo-pin fixture descending onto a circuit board, holding contact through a test cycle, then lifting clear as the board is ejected.","[(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.25,0.23,0.25]"
38,"Wrist-camera footage from a robotic arm in a glass-bottle recycling plant, the electromagnetic end effector carrying a green wine bottle over a cullet conveyor and releasing it to drop among the glass fragments.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.27,0.25,0.25,0.27]"
39,"Egocentric fisheye footage from a wrist camera on a garment-cutting robot, the needle-array gripper pressing into a ply of black jersey knit, lifting it, and repositioning it to align with a projected pattern grid.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.28,0.25,0.28,0.3]"
40,"Egocentric fisheye footage from a wrist camera on a robotic arm in a concrete-pipe plant, the hydraulic clamp gripper rotating a freshly cast pipe segment on a curing rack through a full slow revolution.","[(0.0,0.0),(0.1,0.0),(0.0,0.0),(-0.1,0.0),(0.0,0.0)]","[0.3,0.3,0.3,0.3,0.3]"
41,"Egocentric footage from a palletising robot, the vacuum-pad gripper lowering a shrink-wrapped case of bottled water onto a half-stacked pallet, releasing, and swinging back to the conveyor for the next case.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.1,0.1)]","[0.32,0.3,0.3,0.32]"
42,"Egocentric fisheye footage from a wrist camera on a vineyard pruning arm, the pneumatic secateurs closing on a grapevine cane and snipping it, the severed end falling away as the arm repositions to the next cane.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.25,0.23,0.25,0.27]"
43,"Egocentric footage from a wrist camera on a robotic arm in a brewery canning line, the foam-padded gripper rotating an aluminium beer can under a label applicator, holding through the application, then releasing it.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.28,0.25,0.28]"
44,"Fish-eye overhead footage from a cold-storage warehouse robot, the fork-style gripper sliding under a frozen pallet of boxed seafood, lifting it from the racking, and lowering it onto a transfer conveyor.","[(0.0,-0.1),(0.0,0.0),(0.0,0.1),(0.0,0.2)]","[0.35,0.33,0.33,0.35]"
45,"Egocentric fisheye footage from a wrist camera on a tyre-inspection arm, the roller-probe pressing against an inflated tyre's inner sidewall as the tyre rotates slowly under UV light, a trapped air bubble glowing bright.","[(0.0,0.0),(0.1,0.0),(0.0,0.0),(-0.1,0.0),(0.0,0.0)]","[0.3,0.3,0.3,0.3,0.3]"
46,"First-person gameplay footage in a Counter-Strike 2 match, the player advancing down a concrete corridor with a Desert Eagle, a flashbang rolling ahead and detonating in a blinding white flash before the view recovers.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0)]","[0.3,0.35,0.4]"
47,"First-person sniper clip in Counter-Strike, the player scoping in with an SSG 08 as a smoke grenade blooms across a long sightline, a teammate's silhouette moving through the expanding grey-white cloud.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.25,0.3,0.35]"
48,"First-person stealth clip in Counter-Strike, the player creeping up behind an oblivious enemy in a narrow alley, freezing as the enemy pauses to scan, then closing in for a silent backstab, the body crumpling to the wet ground.","[(0.0,0.0),(0.0,0.0),(0.0,0.1)]","[0.28,0.25,0.28]"
49,"First-person bomb-plant footage in Counter-Strike on Dust 2's B bombsite, both hands on the C4, the arming progress bar filling while teammates hold the tunnel entrances in the background, rifles raised.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1)]","[0.3,0.28,0.3]"
50,"First-person VR-style synchronisation sequence from an Assassin's Creed-inspired game, the player seizing an eagle finial at the summit of a Florence cathedral, the city unfolding below in a sweeping reveal.","[(0.0,0.0),(0.0,0.1),(0.0,0.2),(0.0,0.3)]","[0.45,0.5,0.55,0.5]"
51,"First-person parkour footage across Constantinople rooftops in an Assassin's Creed-style game, the player vaulting a chimney, launching a gap jump across an alley, and scrambling onto the far ledge.","[(-0.2,0.0),(-0.1,0.1),(0.0,0.0),(0.1,-0.1),(0.2,0.0)]","[0.28,0.27,0.27,0.28,0.28]"
52,"First-person leap-of-faith sequence in an Assassin's Creed-style game, the player diving off a Venetian campanile, the canal and gondola rushing up through the frame until impact in a hay cart beside the waterway.","[(0.0,-0.3),(0.0,-0.1),(0.0,0.1),(0.0,0.3)]","[0.3,0.3,0.3,0.35]"
53,"First-person eagle-vision sequence in an Assassin's Creed Egyptian marketplace, the world shifting to desaturated blue-grey as a single gold-glowing merchant begins to move and the player follows through the crowd.","[(0.0,0.0),(0.1,0.0),(0.2,0.0),(0.2,0.1)]","[0.35,0.32,0.3,0.32]"
54,"First-person VR view from a Viking longship in an Assassin's Creed Valhalla-style world, the player rowing as a fjord coastline materialises from morning fog, a raven lifting from the prow to scout ahead.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.4,0.38,0.38,0.4]"
55,"First-person air assassination in an Assassin's Creed game, the player diving from a Damascus rooftop toward a lone Templar in a moonlit courtyard, the hidden blade extending mid-fall before the silent landing.","[(0.0,-0.3),(0.0,-0.1),(0.0,0.1),(0.0,0.2)]","[0.27,0.25,0.25,0.27]"
56,"First-person underwater dive in an Assassin's Creed Greek-world sequence, the player swimming down through a sunlit Aegean cenote toward a half-buried marble statue, fish scattering as the oxygen meter depletes.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.3,0.3,0.32,0.35]"
57,"First-person horseback gallop in an Assassin's Creed Renaissance Tuscan countryside, a bandit stepping onto the road ahead drawing a sword as the horse rears and the player vaults from the saddle to fight.","[(-0.2,0.0),(0.0,0.0),(0.1,0.1),(0.0,0.0)]","[0.3,0.3,0.28,0.3]"
58,"First-person building gameplay in a Fortnite-style battle royale, the player rapidly constructing a wooden ramp under fire, planks materialising in blue particles, then sprinting up and peeking over the top.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.3,0.3,0.3,0.3]"
59,"First-person ink-roller gameplay in a Splatoon-style game, the player charging a paint roller across a contested wall, orange ink surging over the enemy's purple, then an opponent rounding the corner and being splatted.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0),(0.3,0.0)]","[0.28,0.28,0.28,0.3]"
60,"First-person shrine-discovery in a Zelda: Breath of the Wild-style world, the player raising the Sheikah Slate toward a hillside shrine, the scan activating, orange light tracing the geometric patterns as a pillar of light shoots skyward.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.35,0.38,0.42,0.4]"
61,"First-person slime-farming gameplay in a Slime Rancher-style sim, the player vacuuming a bouncing pink slime with a handheld device, the slime stretching toward the nozzle before popping into the tank with a satisfying slurp.","[(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.28,0.25,0.28]"
62,"First-person kart-racing gameplay on a candy-themed rainbow track, the player clipping a banana peel and spinning wildly before recovering into a drift around a gumdrop-tree corner and firing a shell at the kart ahead.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0),(0.3,0.0)]","[0.3,0.3,0.3,0.3,0.3]"
63,"First-person legendary-sword retrieval in a cartoon adventure game, the player gripping a sword in a forest-clearing pedestal, pulling it free in a burst of golden rune particles as a fairy companion spins excitedly overhead.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.32,0.3,0.32,0.38]"
64,"First-person rhythm-game gameplay, the player striking glowing drum pads on the beat, each perfect hit sending a gold ring of musical-note particles outward, the combo counter climbing to x47 as the neon stage lights pulse.","[(0.0,0.0),(-0.1,0.0),(0.1,0.0),(0.0,0.0)]","[0.3,0.28,0.28,0.3]"
65,"First-person wand-casting in a cartoon wizard-school simulator, the player flicking a wooden wand over a feather on a stone desk, the feather rising in a golden spiral, then following left and right as the wand directs it.","[(0.0,0.1),(0.0,0.0),(-0.1,0.0),(0.1,0.0),(0.0,0.0)]","[0.28,0.25,0.28,0.28,0.3]"
66,"First-person fishing sequence in a Fortnite-style game, the player casting from a dock at golden hour, the line going taut, a googly-eyed bass launching from the water in a sparkle burst before being reeled in.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.3,0.28,0.28,0.32]"
67,"First-person pirate ship-steering gameplay, the player manning a galleon wheel as a tropical island grows on the horizon, a parrot NPC flapping on the wheel's top spoke, the stylised teal waves rolling beneath.","[(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.4,0.42,0.45]"
68,"First-person graffiti-spraying in a Jet Set Radio-style skating game, the player rolling past a blank wall and tagging it with a stylised cat face in neon green, then kicking off and grinding a railing as sirens wail.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0),(0.3,0.0)]","[0.28,0.25,0.28,0.3]"
69,"First-person dungeon-exploration in a cartoon crawler, the player raising a glowing torch into a cavern, light sweeping across bioluminescent mushrooms and friendly bats, a purple-glowing treasure chest visible on a raised platform.","[(0.0,0.0),(0.1,0.0),(0.2,0.0),(0.2,-0.1)]","[0.35,0.35,0.35,0.32]"
70,"First-person underwater exploration in a cartoon dive game, the player reaching toward a bioluminescent jellyfish drifting in a deep trench, the jellyfish pulsing pink and blue, an anglerfish lure bobbing distantly in the dark.","[(0.0,0.0),(0.1,0.0),(0.1,0.1)]","[0.3,0.27,0.3]"
71,"A glassblower shapes a glowing orb of molten glass in a dimly lit studio, rotating the pipe slowly as the form expands and stretches, sparks and heat shimmer rising around the gloved hands.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.28,0.32,0.35]"
72,"A stonemason chisels a gargoyle from a block of limestone on cathedral scaffolding, stone dust drifting from each hammer blow as the emerging face slowly takes on a fierce, animated expression.","[(0.0,0.0),(0.0,0.0)]","[0.3,0.35]"
73,"A blacksmith hammers a glowing blade on an iron anvil in a forge lit only by the furnace, sparks showering in slow motion, the blade's colour shifting from white-hot orange to deep red.","[(0.0,0.0),(0.0,0.1),(0.0,0.0)]","[0.3,0.28,0.32]"
74,"A time-lapse of storm clouds rolling over a vast wheat field, the golden stalks bending in waves under the wind, lightning flickering silently on the horizon as the sky shifts from amber to deep violet.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0)]","[0.5,0.55,0.5]"
75,"A deep-sea diver descends along a coral wall teeming with tropical fish, a torch beam cutting through the dark blue water, sea turtles and manta rays gliding past in slow motion.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.35,0.33,0.33,0.35]"
76,"A thoroughbred racehorse gallops through morning fog on a dirt track, every leg joint extended in full stride, the golden light of sunrise catching the mist curling off the horse's muscular flanks.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.3,0.3,0.3,0.3]"
77,"A herd of wild horses gallops across a snow-dusted plain at dusk, their breath forming clouds of mist, the camera tracking alongside them at eye level as manes whip in the wind.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.32,0.32,0.32,0.32]"
78,"A barn owl glides silently through a moonlit cathedral nave, its wingspan fully extended, shafts of silver light through stained glass casting fractured colour across the ancient stone pillars below.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.3,0.3,0.3]"
79,"A grey wolf stands on a snow-covered ridge at twilight and then turns and lopes away along the ridgeline, a blood-orange sun sinking below jagged mountain peaks, its long shadow stretching across the blue-white snow.","[(-0.1,0.0),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.35,0.33,0.33,0.35]"
80,"A black cat moves along a fire escape railing in a rain-soaked alleyway, neon signs from a Chinatown street below painting its fur in strokes of pink and green, its eyes glowing like twin lanterns.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.27,0.25,0.27]"
81,"A German Shepherd sits alert on the steps of an abandoned precinct, ears upright, as autumn leaves swirl around its paws and late afternoon light filters through boarded-up windows behind it, then it stands and trots away.","[(0.0,0.1),(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.32,0.3,0.3,0.32]"
82,"A white stallion rears up on a windswept cliff overlooking a stormy Atlantic coast, front legs perfectly bent, mane whipping sideways, crashing waves sending salt spray high into the slate-grey air.","[(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.35,0.38,0.4]"
83,"A murmuration of starlings performs a shape-shifting display at dusk above an Italian hillside town, the cloud twisting and folding above the terracotta rooftops as the camera slowly pulls back to reveal its full scale.","[(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.4,0.5,0.55]"
84,"A beekeeper lifts a honeycomb frame from a hive, thousands of bees crawling across it in the warm afternoon light, tilting the frame gently so honey catches the sunlight like amber glass.","[(0.0,0.0),(0.0,-0.1),(0.1,-0.1)]","[0.32,0.3,0.32]"
85,"A marine biologist attaches a tracking tag to a basking shark in the open Atlantic from a small inflatable boat, the shark's enormous dorsal fin cutting the surface as she leans over the side.","[(0.0,0.0),(0.1,0.0),(0.2,0.0)]","[0.35,0.35,0.35]"
86,"A hawk dives in slow motion from a clifftop thermal, folding its wings into a steep stoop toward the valley below, the landscape rushing upward until the wings snap open to arrest the descent.","[(0.0,-0.3),(0.0,-0.1),(0.0,0.1),(0.0,0.2)]","[0.25,0.25,0.28,0.3]"
87,"A pair of wolves play-fight in a snowy Yellowstone clearing, rolling and sparring with exaggerated lunges, their breath steaming as they tumble through fresh snow under a pewter sky.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.38,0.42,0.4]"
88,"A botanist parts the undergrowth of a Costa Rican cloud forest, revealing an explosion of orchids and bromeliads, mist drifting through the canopy and a poison dart frog motionless on a wet leaf in the foreground.","[(0.0,0.0),(0.1,0.0),(0.1,0.1)]","[0.35,0.35,0.32]"
89,"A tidal bore surges up a river estuary in the Bay of Fundy, the advancing wall of brown water flattening reeds and reclaiming mudflats in seconds, birds scattering ahead of it across the frame.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.45,0.45,0.45,0.45]"
90,"A volcanic eruption viewed from a safe distance, a lava flow creeping steadily down a black basalt slope at night, the incandescent orange-red crust cracking to reveal bright liquid beneath as gases shimmer above.","[(-0.1,0.1),(0.0,0.0),(0.1,-0.1),(0.2,-0.2)]","[0.4,0.38,0.38,0.4]"
91,"A deep-sea submersible descends into an abyssal trench, its floodlights illuminating a snowfall of marine particles, an anglerfish drifting into the beam for a moment before retreating back into total darkness.","[(0.0,-0.2),(0.0,-0.1),(0.0,0.0),(0.0,0.1)]","[0.35,0.33,0.35,0.38]"
92,"A sand dune ripples in slow motion under a desert wind in the Sahara, the surface grain shifting in intricate patterns along the dune's crest as sand spills in a continuous silken cascade.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.4,0.42,0.4]"
93,"A paraglider soars along a coastal cliff, the updraft holding the canopy steady, the rock face and the sea far below sliding past in opposite directions as thermals carry the glider higher.","[(-0.1,-0.1),(0.0,-0.1),(0.1,-0.1),(0.2,-0.1)]","[0.4,0.42,0.42,0.4]"
94,"A time-lapse of a painter completing a large canvas, brush strokes accumulating from blank white to a vivid landscape, shot from directly overhead in a fixed frame watching the transformation unfold.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.4,0.5,0.55]"
95,"A calligrapher dips her brush and draws a sweeping Chinese character across a large sheet of rice paper, the ink blooming softly at each stroke's edge, the camera following the brush tip in extreme close-up.","[(-0.2,-0.1),(0.0,0.0),(0.2,0.1)]","[0.25,0.23,0.25]"
96,"A kayaker drives hard strokes through a fast-moving glacial river, grey-green water and mossy boulders sliding past on both banks, the paddle blade catching the pale northern light on each catch and exit.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.3,0.3,0.3]"
97,"A speedboat cuts across a flat blue lake at sunrise, the hull throwing twin rooster tails of white spray, the forested shoreline sliding steadily past as the bow wave fans outward behind it.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.3,0.3,0.3,0.3]"
98,"Aurora Borealis ripples in green and violet curtains above a frozen Finnish lake, the colours shifting and folding across the entire sky while the ice surface below mirrors the display in a perfect reflection.","[(0.0,0.0),(0.0,0.0),(0.0,0.0)]","[0.55,0.6,0.55]"
99,"A lone hot air balloon rises slowly over a mist-filled valley at dawn, the burner firing in regular pulses, the patchwork farmland far below gradually revealed as the balloon clears the last of the morning fog.","[(0.0,0.1),(0.0,0.0),(0.0,-0.1),(0.0,-0.2)]","[0.35,0.38,0.42,0.45]"
100,"A vintage steam locomotive charges through a misty countryside valley, smoke billowing from its stack, the rails and telegraph poles strobing past in the foreground as the engine fills the centre of the frame.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.32,0.3,0.3,0.32]"
